起始城市,目标城市,时间,费用
上海,新乡,45595,359
上海,焦作,47789,355
上海,濮阳,42580,274
上海,许昌,39584,338
上海,漯河,38226,314
上海,三门峡,51321,491
上海,南阳,44883,407
上海,商丘,37834,227
上海,信阳,37999,325
上海,周口,36173,291
上海,驻马店,38015,331
上海,哈尔滨,103822,922
上海,齐齐哈尔,102609,1002
上海,鸡西,111658,1089
上海,鹤岗,117384,1090
上海,双鸭山,116669,1106
上海,大庆,97220,948
上海,伊春,112734,1057
上海,佳木斯,116117,1080
上海,七台河,113828,1115
上海,牡丹江,102957,1017
上海,黑河,112086,1039
上海,绥化,103429,961
上海,大兴安岭地区,127989,1084
上海,武汉,34785,414
上海,黄石,32093,339
上海,十堰,53743,482
上海,宜昌,52489,498
上海,襄阳,49055,449
上海,鄂州,32278,345
上海,荆门,48618,465
上海,孝感,42231,375
上海,荆州,44874,472
上海,黄冈,32899,360
上海,咸宁,35602,388
上海,随州,45055,405
上海,恩施,62076,655
上海,仙桃,39848,423
上海,潜江,43666,450
上海,天门,45585,425
上海,长沙,46178,504
上海,株洲,43236,448
上海,湘潭,44125,459
上海,衡阳,48707,470
上海,邵阳,50854,530
上海,岳阳,40797,477
上海,常德,48169,585
上海,张家界,53646,641
上海,益阳,50545,530
上海,郴州,54182,615
上海,永州,54028,517
上海,怀化,58618,638
上海,娄底,48527,502
上海,湘西州,58225,718
上海,南京,19033,99
上海,无锡,12365,46
上海,徐州,31689,271
上海,常州,14751,58
上海,苏州,9876,34
上海,南通,12952,49
上海,连云港,23294,185
上海,淮安,23733,175
上海,盐城,17524,117
上海,扬州,17589,85
上海,镇江,16840,83
上海,泰州,15299,60
上海,宿迁,25767,222
上海,长春,85977,822
上海,吉林市,89168,874
上海,四平,81338,779
上海,辽源,82882,794
上海,通化,84596,809
上海,白山,85323,771
上海,松原,89226,877
上海,白城,94038,947
上海,延边,101572,997
上海,沈阳,75401,692
上海,大连,79914,762
上海,鞍山,74848,690
上海,抚顺,75657,718
上海,本溪,75807,713
上海,丹东,76523,690
上海,锦州,66713,599
上海,营口,70976,589
上海,阜新,71494,656
上海,辽阳,74188,687
上海,盘锦,69307,640
上海,铁岭,76639,726
上海,朝阳,70063,639
上海,葫芦岛,64700,581
上海,呼和浩特,79297,680
上海,包头,83836,865
上海,乌海,91348,953
上海,赤峰,69226,654
上海,通辽,80687,765
上海,鄂尔多斯,79095,812
上海,呼伦贝尔,120391,1182
上海,巴彦淖尔,88422,544
上海,乌兰察布,70846,737
上海,兴安盟,94615,799
上海,锡林郭勒盟,83627,718
上海,阿拉善盟,92137,754
上海,银川,89280,741
上海,石嘴山,89387,759
上海,吴忠,87859,741
上海,固原,79170,774
上海,中卫,86626,837
上海,西宁,98888,973
上海,海北州,106947,1028
上海,黄南州,100739,986
上海,海南州,108627,1028
上海,果洛州,122345,1120
上海,玉树州,133475,1249
上海,海西州,120537,974
上海,济南,42075,392
上海,青岛,33632,297
上海,淄博,37403,310
上海,枣庄,33037,306
上海,东营,38705,315
上海,烟台,40425,347
上海,潍坊,35520,289
上海,济宁,37948,220
上海,泰安,40500,358
上海,威海,44309,377
上海,日照,28387,225
上海,莱芜,38137,350
上海,临沂,30100,211
上海,德州,45899,447
上海,聊城,43229,310
上海,滨州,40068,348
上海,菏泽,39911,384
上海,太原,62618,494
上海,大同,69206,699
上海,阳泉,57406,538
上海,长治,55396,415
上海,晋城,50272,386
上海,朔州,69374,726
上海,晋中,61911,492
上海,运城,57172,506
上海,忻州,64256,652
上海,临汾,60536,445
上海,吕梁,66528,675
上海,西安,63460,610
上海,铜川,63592,640
上海,宝鸡,69950,704
上海,咸阳,63490,625
上海,渭南,59552,582
上海,延安,68980,657
上海,汉中,70972,753
上海,榆林,75833,661
上海,安康,62474,618
上海,商洛,56611,577
上海,成都,86259,1004
上海,自贡,88454,987
上海,攀枝花,109084,1484
上海,泸州,84029,986
上海,德阳,86794,947
上海,绵阳,84783,928
上海,广元,77970,849
上海,遂宁,81908,961
上海,内江,87519,973
上海,乐山,92171,1045
上海,南充,77073,931
上海,眉山,89208,1099
上海,宜宾,88176,1047
上海,广安,77395,908
上海,达州,73084,831
上海,雅安,92075,1141
上海,巴中,76112,898
上海,资阳,86486,1024
上海,阿坝州,99803,1092
上海,甘孜州,98180,1226
上海,凉山州,105256,1346
上海,拉萨,194513,1124
上海,山南地区,200182,1124
上海,那曲地区,182346,1124
上海,阿里地区,262962,1124
上海,林芝地区,213392,1603
上海,乌鲁木齐,159502,1462
上海,克拉玛依,176637,1617
上海,吐鲁番地区,152147,1422
上海,哈密地区,136245,1289
上海,阿克苏地区,189345,1649
上海,喀什地区,206218,1775
上海,和田地区,191811,974
上海,塔城地区,183468,1698
上海,阿勒泰地区,171458,1580
上海,石河子,166354,1518
上海,阿拉尔,192411,1632
上海,图木舒克,198291,1695
上海,五家渠,162524,1476
上海,昆明,96768,1321
上海,曲靖,91634,1271
上海,玉溪,100078,1384
上海,保山,119326,1592
上海,昭通,87896,1233
上海,丽江,112225,1372
上海,普洱,115784,1562
上海,临沧,125757,1468
上海,文山,97941,1047
上海,西双版纳,120131,1608
上海,杭州,11271,71
上海,宁波,12187,157
上海,温州,21808,234
上海,嘉兴,9534,42
上海,湖州,8660,65
上海,绍兴,12070,108
上海,金华,16183,140
上海,衢州,19269,168
上海,舟山,14470,190
上海,台州,18861,181
上海,丽水,20224,177
重庆,合肥,56435,708
重庆,芜湖,60412,780
重庆,蚌埠,59011,761
重庆,淮南,56604,723
重庆,马鞍山,60982,809
重庆,淮北,60461,687
重庆,铜陵,58119,733
重庆,安庆,53976,666
重庆,黄山,64261,778
重庆,滁州,61928,776
重庆,阜阳,54686,633
重庆,宿州,59741,704
重庆,六安,52749,685
重庆,亳州,55551,646
重庆,池州,56682,715
重庆,宣城,60717,786
重庆,巢湖,58028,761
重庆,福州,74813,934
重庆,厦门,72252,889
重庆,莆田,75349,900
重庆,三明,66757,820
重庆,泉州,73895,886
重庆,漳州,70821,865
重庆,南平,68512,840
重庆,龙岩,66909,798
重庆,宁德,75286,950
重庆,南昌,54175,696
重庆,景德镇,58695,699
重庆,萍乡,47672,561
重庆,九江,52099,631
重庆,新余,51341,610
重庆,鹰潭,60514,711
重庆,赣州,57984,684
重庆,吉安,53178,633
重庆,宜春,49461,581
重庆,抚州,56639,681
重庆,上饶,62968,815
重庆,兰州,48978,589
重庆,嘉峪关,74997,843
重庆,金昌,61810,717
重庆,白银,51262,608
重庆,天水,34967,493
重庆,武威,58759,681
重庆,张掖,67112,763
重庆,平凉,47005,537
重庆,酒泉,74720,828
重庆,庆阳,44743,521
重庆,定西,43731,560
重庆,陇南,27173,327
重庆,临夏州,49266,608
重庆,甘南州,46637,417
重庆,广州,58073,827
重庆,韶关,55595,612
重庆,深圳,62106,903
重庆,珠海,60991,877
重庆,汕头,71510,978
重庆,佛山,54688,826
重庆,江门,55968,854
重庆,湛江,56109,621
重庆,茂名,58481,622
重庆,肇庆,54921,803
重庆,惠州,60574,885
重庆,梅州,66680,933
重庆,汕尾,65680,918
重庆,河源,61248,911
重庆,阳江,58819,842
重庆,清远,54333,786
重庆,东莞,58509,856
重庆,中山,58343,863
重庆,潮州,70039,965
重庆,揭阳,69396,954
重庆,云浮,53986,787
重庆,南宁,44088,548
重庆,柳州,40346,505
重庆,桂林,37438,579
重庆,梧州,48616,730
重庆,北海,52829,599
重庆,防城港,49276,599
重庆,钦州,47763,583
重庆,贵港,45074,609
重庆,玉林,49440,629
重庆,百色,32661,475
重庆,贺州,44235,672
重庆,河池,32697,421
